nodeid,networkcanvasegouuid,networkcanvasuuid,activities_with,alter_health,closeness,live_close,freq,count_on_1,count_on_2,count_on_3,knows_x,knows_y,ease_with_1,ease_with_2,ease_with_3,relat_1,relat_2,relat_3,relat_4,relat_5,relat_6,relat_7,relat_8,alter_gender_1,alter_gender_2,alter_gender_3,alter_age_1,alter_age_2,alter_age_3,alter_age_4,alter_age_5,alter_age_6,alter_age_7,alter_age_8,rel_length,null,relationship,count_on,ease_with,alter_age,alter_gender,PA_with,close,rel_length_text,alter_health_text,live_close_text,freq_text
1,5ec8d89c-9fcf-4fb3-803f-dd4e1ef79acd,06693dca-c375-41d0-ad81-f51b305b79f6,TRUE,3,5,1,6,TRUE,FALSE,FALSE,0.504857009,0.506840205,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,5,NA,partner,yes,yes,51 to 60,male,yes,5,more than 10 years,neither good nor poor,live together,daily
2,5ec8d89c-9fcf-4fb3-803f-dd4e1ef79acd,6f8a667e-5069-4dc2-af47-b140665a26f9,TRUE,5,5,4,3,TRUE,FALSE,FALSE,0.491410634,0.63300399,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5,NA,child,yes,yes,31 to 40,male,yes,5,more than 10 years,very good,less than hour away,about every 2 weeks
3,5ec8d89c-9fcf-4fb3-803f-dd4e1ef79acd,bb61d2f4-2bfa-4e76-b684-059b5cc59a46,TRUE,5,NA,NA,NA,TRUE,FALSE,FALSE,0.571297921,0.491639749,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5,NA,child,yes,yes,31 to 40,male,yes,0,more than 10 years,very good,NA,NA
4,5ec8d89c-9fcf-4fb3-803f-dd4e1ef79acd,743a36c7-8308-4a1d-8c4e-22167fab6e7c,TRUE,5,NA,NA,NA,TRUE,FALSE,FALSE,0.530167833,0.36699601,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,NA,family,yes,yes,21 to 30,female,yes,0,more than 10 years,very good,NA,NA
5,5ec8d89c-9fcf-4fb3-803f-dd4e1ef79acd,ed5a51db-8b67-4515-9db6-ffe65819d0e1,TRUE,5,NA,NA,NA,TRUE,FALSE,FALSE,0.453444398,0.446038381,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3,NA,family,yes,yes,31 to 40,male,yes,0,3-5 years,very good,NA,NA
6,5ec8d89c-9fcf-4fb3-803f-dd4e1ef79acd,8b5ce6a6-b4f8-4182-a833-23e112669346,TRUE,5,NA,NA,NA,TRUE,FALSE,FALSE,0.449489582,0.599562987,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,5,NA,friend,yes,yes,51 to 60,female,yes,0,more than 10 years,very good,NA,NA
7,5ec8d89c-9fcf-4fb3-803f-dd4e1ef79acd,6589e201-0062-4098-8c1c-4e3832ff21c4,TRUE,5,NA,NA,NA,TRUE,FALSE,FALSE,0.485873891,0.370036101,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,5,NA,friend,yes,yes,51 to 60,female,yes,0,more than 10 years,very good,NA,NA
8,5ec8d89c-9fcf-4fb3-803f-dd4e1ef79acd,8a1ca184-6d7d-484b-8a00-251bc63f5e46,,5,NA,NA,NA,TRUE,FALSE,FALSE,0.546778061,0.625403762,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,5,NA,friend,yes,yes,51 to 60,female,no,0,more than 10 years,very good,NA,NA
9,5ec8d89c-9fcf-4fb3-803f-dd4e1ef79acd,4ab417eb-be1f-46e4-ac2c-8075616fa464,,5,NA,NA,NA,TRUE,FALSE,FALSE,0.417851052,0.487079612,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,5,NA,friend,yes,yes,51 to 60,female,no,0,more than 10 years,very good,NA,NA
10,5ec8d89c-9fcf-4fb3-803f-dd4e1ef79acd,32eb33b4-655f-40f4-a9bf-7aa42cfbd280,,3,NA,NA,NA,TRUE,FALSE,FALSE,0.577625627,0.569162075,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,5,NA,friend,yes,yes,51 to 60,female,no,0,more than 10 years,neither good nor poor,NA,NA
